transaction_id,user_id,amount,transaction_type,transaction_status,transaction_status,meta_data,created_at,updated_at
70d307dd-2bb8-4cfc-a8a2-1b0d30f5ab4c,,-100.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '4c20bafb-884b-4bf6-a366-9ff37f4abf33'},2024-04-19 12:58:49.127131,
5c7cc52a-e496-48a7-96ee-54317aa6fe38,,-100.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '4c20bafb-884b-4bf6-a366-9ff37f4abf33'},2024-04-19 12:58:47.204443,
60a32f14-017d-4ac1-be5a-e3cf6fb5260e,,-100.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '4c20bafb-884b-4bf6-a366-9ff37f4abf33'},2024-04-19 12:58:33.679176,
432bf1fe-4121-4233-b86e-08fb2fc2c19d,,-100.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '4c20bafb-884b-4bf6-a366-9ff37f4abf33'},2024-04-19 12:58:18.331182,
2c629df6-b17c-455d-a743-1d6fcd26370d,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'f8d54a7f-2d6b-4989-978b-488ba145c0e1'},2024-04-19 12:08:05.449677,
335360a2-7e67-411a-91c7-7e62d3f3ef0d,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'f8d54a7f-2d6b-4989-978b-488ba145c0e1'},2024-04-19 12:07:49.797806,
e4b662b3-3dbd-4a09-8752-c028b51a01cc,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'f8d54a7f-2d6b-4989-978b-488ba145c0e1'},2024-04-19 12:07:34.527965,
3993cc1f-921f-4342-bde6-6b83f436d7fb,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '68d67708-893a-4a85-a4b8-ffc61a4ebb9b'},2024-04-19 11:41:22.215570,
4edde4c7-1618-4a1f-b348-1a9ae3ff8406,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '68d67708-893a-4a85-a4b8-ffc61a4ebb9b'},2024-04-19 11:41:15.640486,
d0f462c3-6d47-417d-8610-677e1cd42da8,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '68d67708-893a-4a85-a4b8-ffc61a4ebb9b'},2024-04-19 11:40:54.935096,
7a6feb18-7f2e-49b6-a7b8-2a0232034c2c,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '12997a0e-16bd-4ad1-a94b-8dcd9da131b3'},2024-04-19 10:00:05.231024,
b1cf8a1b-432d-49af-a0a6-ebc536d515df,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '12997a0e-16bd-4ad1-a94b-8dcd9da131b3'},2024-04-19 09:59:55.259277,
83b57692-e727-4f0d-b565-c12263ea4de5,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '12997a0e-16bd-4ad1-a94b-8dcd9da131b3'},2024-04-19 09:59:36.649089,
3c40a0a6-9fc2-4fd5-9a47-76c0576506d8,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '730f9fdb-c568-4e61-91ee-10628b3ac293'},2024-04-18 08:15:53.801088,
89559a18-7f89-446f-ab37-eaa208fe6fe8,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '730f9fdb-c568-4e61-91ee-10628b3ac293'},2024-04-18 08:15:53.535564,
7303e640-7359-4fc7-b48e-4f92b0844427,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '730f9fdb-c568-4e61-91ee-10628b3ac293'},2024-04-18 08:15:36.648505,
fb6296aa-90f6-417a-882f-a31523e413e0,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'ba880af5-294e-47e3-9bba-e19b6840e5c8'},2024-04-18 08:01:00.667331,
7b117805-981a-4bf6-b5b3-3af3295f347d,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'ba880af5-294e-47e3-9bba-e19b6840e5c8'},2024-04-18 08:00:46.780477,
47f093d3-ea56-4456-94e0-1869d58e66e7,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'ba880af5-294e-47e3-9bba-e19b6840e5c8'},2024-04-18 08:00:37.177985,
a542777a-a8a6-4a39-82b6-95c4962dbd3e,,-50.0,TransactionTypeEnum.JOIN_CONTEST,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'bce27f46-da8a-478f-a4e8-eed594433fbf'},2024-04-18 07:50:07.118921,
